Phoneme1	Phoneme2	Difference	Max/Dep	BeIdentical	Sonority	Continuant	Place	Backness	Stridency	Rounding	Voicing	Nasality	Lateral	Tense	Tone	Syllabic
			 45.43	 2.17 	 0.36 	 0.31 	 0.27 	 0.95 	 1.78 	 0.07 	 1.23 	 1.28 	 0.62 	 1.34 	 0.25 	 12.17 
GAP	GAP	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	u	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	l	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	t	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	i	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	m	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	s	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	^	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	b	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	o	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	n	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	p	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	e	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	a	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	k	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	r	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	d	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	g	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	f	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	ng	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	O	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	z	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	ly	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	ch	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	dzh	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	zh	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
GAP	sh	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
u	GAP	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
u	u	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
u	l	 16.99	 0	 1	 3	 0	 0	 1	 0	 0	 0	 0	 1	 0	 0	 1
u	t	 18.32	 0	 1	 5	 0	 0	 1	 0	 0	 1	 0	 0	 0	 0	 1
u	i	 4.14	 0	 1	 0	 0	 0	 2	 0	 1	 0	 0	 0	 0	 0	 0
u	m	 18.01	 0	 1	 4	 0	 0	 1	 0	 0	 0	 1	 0	 0	 0	 1
u	s	 20.1	 0	 1	 5	 0	 0	 1	 1	 0	 1	 0	 0	 0	 0	 1
u	^	 3.94	 0	 1	 1	 0	 0	 0	 0	 1	 0	 0	 0	 1	 0	 0
u	b	 17.09	 0	 1	 5	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 1
u	o	 2.53	 0	 1	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
u	n	 18.01	 0	 1	 4	 0	 0	 1	 0	 0	 0	 1	 0	 0	 0	 1
u	p	 18.32	 0	 1	 5	 0	 0	 1	 0	 0	 1	 0	 0	 0	 0	 1
u	e	 4.5	 0	 1	 1	 0	 0	 2	 0	 1	 0	 0	 0	 0	 0	 0
u	a	 4.3	 0	 1	 2	 0	 0	 0	 0	 1	 0	 0	 0	 1	 0	 0
u	k	 18.32	 0	 1	 5	 0	 0	 1	 0	 0	 1	 0	 0	 0	 0	 1
u	r	 16.01	 0	 1	 2	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 1
u	d	 17.09	 0	 1	 5	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 1
u	g	 17.09	 0	 1	 5	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 1
u	f	 18.32	 0	 1	 5	 0	 0	 1	 0	 0	 1	 0	 0	 0	 0	 1
u	ng	 18.01	 0	 1	 4	 0	 0	 1	 0	 0	 0	 1	 0	 0	 0	 1
u	O	 3.87	 0	 1	 1	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0
u	z	 18.87	 0	 1	 5	 0	 0	 1	 1	 0	 0	 0	 0	 0	 0	 1
u	ly	 16.99	 0	 1	 3	 0	 0	 1	 0	 0	 0	 0	 1	 0	 0	 1
u	ch	 20.1	 0	 1	 5	 0	 0	 1	 1	 0	 1	 0	 0	 0	 0	 1
u	dzh	 18.87	 0	 1	 5	 0	 0	 1	 1	 0	 0	 0	 0	 0	 0	 1
u	zh	 18.87	 0	 1	 5	 0	 0	 1	 1	 0	 0	 0	 0	 0	 0	 1
u	sh	 20.1	 0	 1	 5	 0	 0	 1	 1	 0	 1	 0	 0	 0	 0	 1
l	GAP	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
l	u	 16.99	 0	 1	 3	 0	 0	 1	 0	 0	 0	 0	 1	 0	 0	 1
l	l	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
